"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"chrome","1","309","3513332338688","58576896","23318528","22376","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=29 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774365853725 --field-trial-handle=6400,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6332 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","3.484375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8004","4",,"False","9/11/2024 6:54:48 AM",,"2156",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22376","22376","23318528","23318528","632456","632456","34938880","34938880","71847936","71847936","3515295272960","2012024832","True","Idle","23318528","23318528","255","1",,"System.Diagnostics.ProcessThreadCollection","309","3513332338688","49090560","False",,,,"58576896","58576896",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.5312500","00:00:03.4843750","00:00:02.9531250","chrome","0","","True",,
"chrome","1","443","3513338425344","74862592","39227392","23944","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=163 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1788221953837 --field-trial-handle=9352,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=9296 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.578125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7380","4",,"False","9/11/2024 10:45:44 AM",,"6512",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23944","23944","39227392","39227392","673016","673016","54321152","54321152","100421632","100421632","3513712238592","428990464","True","Idle","39227392","39227392","255","1",,"System.Diagnostics.ProcessThreadCollection","443","3513338425344","55177216","False",,,,"74862592","74862592",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1093750","00:00:00.5781250","00:00:00.4687500","chrome","0","","True",,
"chrome","1","445","3513377460224","224063488","171556864","31152","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=139 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1786148621093 --field-trial-handle=6504,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=9480 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","100.859375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7612","8",,"False","9/11/2024 10:11:11 AM",,"7008",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31152","31152","171556864","171556864","708296","708296","190504960","190504960","260722688","260722688","3513448427520","165179392","True","Normal","171556864","171556864","255","1",,"System.Diagnostics.ProcessThreadCollection","445","3513377460224","94212096","False",,,,"224063488","224063488",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:04.5937500","00:01:40.8593750","00:01:36.2656250","chrome","0","","True",,
"chrome","1","233","2306922672128","19992576","12230656","16176","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --no-subproc-heap-profiling --field-trial-handle=2324,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=2340 /prefetch:13","System.Diagnostics.Process (chrome)","Google LLC","0.578125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9124","8",,"False","9/11/2024 6:54:12 AM",,"8048",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16176","16176","12230656","12230656","606760","606760","27598848","27598848","33017856","33017856","2306956488704","559050752","True","Normal","12230656","12230656","255","1",,"System.Diagnostics.ProcessThreadCollection","233","2306922672128","525234176","False",,,,"19992576","19992576",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2187500","00:00:00.5781250","00:00:00.3593750","chrome","0","","True",,
"chrome","1","286","3513326891008","50950144","23613440","23056","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --extension-process --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774332688817 --field-trial-handle=4928,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=4916 /prefetch:9","System.Diagnostics.Process (chrome)","Google LLC","0.4375","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5464","8",,"False","9/11/2024 6:54:15 AM",,"10156",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23056","23056","23613440","23613440","630008","630008","39538688","39538688","58540032","58540032","3513706348544","423100416","True","Normal","23613440","23613440","255","1",,"System.Diagnostics.ProcessThreadCollection","286","3513326891008","43642880","False",,,,"50950144","50950144",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0937500","00:00:00.4375000","00:00:00.3437500","chrome","0","","True",,
"chrome","1","284","2306920398848","20987904","8249344","18920","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --video-capture-use-gpu-memory-buffer --no-subproc-heap-profiling --field-trial-handle=6252,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6652 /prefetch:12","System.Diagnostics.Process (chrome)","Google LLC","15.71875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8924","8",,"False","9/11/2024 6:54:55 AM",,"10672",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18920","18920","8249344","8249344","659216","659216","8417280","8417280","22700032","22700032","2306970755072","573317120","True","Normal","8249344","8249344","255","1",,"System.Diagnostics.ProcessThreadCollection","284","2306920398848","522960896","False",,,,"20987904","20987904",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:04.3906250","00:00:15.7187500","00:00:11.3281250","chrome","0","","True",,
"chrome","1","2223","2308027777024","241958912","309129216","49184","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=gpu-process --no-subproc-heap-profiling --gpu-preferences=UAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --field-trial-handle=1988,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=1952 /prefetch:2","System.Diagnostics.Process (chrome)","Google LLC","89.46875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7768","10",,"False","9/11/2024 6:54:12 AM",,"12260",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","49184","49184","309129216","309129216","1607752","1607752","498524160","498524160","525709312","525709312","2308077961216","1680523264","True","AboveNormal","309129216","309129216","255","1",,"System.Diagnostics.ProcessThreadCollection","2223","2308027777024","1630339072","False",,,,"241958912","241958912",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:17.5468750","00:01:29.4687500","00:01:11.9218750","chrome","0","","True",,
"chrome","1","589","3513323847680","82309120","48504832","24688","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=41 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774379047821 --field-trial-handle=7176,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6148 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","2.421875","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6132","4",,"False","9/11/2024 6:55:01 AM",,"14868",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24688","24688","48504832","48504832","636352","636352","52486144","52486144","85774336","85774336","3513341779968","58531840","True","Idle","48504832","48504832","255","1",,"System.Diagnostics.ProcessThreadCollection","589","3513323847680","40599552","False",,,,"82309120","82309120",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2343750","00:00:02.4218750","00:00:02.1875000","chrome","0","","True",,
"chrome","1","598","3515518672896","707309568","730054656","43992","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=24 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1774364322259 --field-trial-handle=5392,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6028 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","482.75","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2448","8",,"False","9/11/2024 6:54:47 AM",,"15544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","43992","43992","730054656","730054656","1023728","1023728","968982528","968982528","940294144","940294144","3517302767616","-275447808","True","Normal","730054656","730054656","255","1",,"System.Diagnostics.ProcessThreadCollection","598","3515518672896","-2059542528","False",,,,"707309568","707309568",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:16.1406250","00:08:02.7500000","00:07:46.6093750","chrome","0","","True",,
"chrome","1","423","3515390033920","293662720","337551360","44448","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=71 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1776069583255 --field-trial-handle=7252,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=6196 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","109.578125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6244","4",,"False","9/11/2024 7:23:12 AM",,"15596",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","44448","44448","337551360","337551360","777088","777088","583606272","583606272","634388480","634388480","3515448414208","-2129801216","True","Idle","337551360","337551360","255","1",,"System.Diagnostics.ProcessThreadCollection","423","3515390033920","2106785792","False",,,,"293662720","293662720",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:02.7656250","00:01:49.5781250","00:01:46.8125000","chrome","0","","True",,
"chrome","1","376","3513329729536","49631232","27365376","25504","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=150 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1786490257830 --field-trial-handle=7372,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=8228 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.78125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7524","4",,"False","9/11/2024 10:16:53 AM",,"17456",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25504","25504","27365376","27365376","651936","651936","28479488","28479488","49709056","49709056","3513338118144","54870016","True","Idle","27365376","27365376","255","1",,"System.Diagnostics.ProcessThreadCollection","376","3513329729536","46481408","False",,,,"49631232","49631232",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2500000","00:00:00.7812500","00:00:00.5312500","chrome","0","","True",,
"chrome","1","454","3513416867840","231682048","236826624","32920","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=63 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1775095726279 --field-trial-handle=4680,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=7556 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","145.28125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2704","4",,"False","9/11/2024 7:06:58 AM",,"19752",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32920","32920","236826624","236826624","801648","801648","400338944","400338944","439734272","439734272","3513475657728","192409600","True","Idle","236826624","236826624","255","1",,"System.Diagnostics.ProcessThreadCollection","454","3513416867840","133619712","False",,,,"231682048","231682048",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:06.6718750","00:02:25.2812500","00:02:18.6093750","chrome","0","","True",,
"chrome","1","2302","2307802730496","242528256","147263488","79136","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" ",,"Google LLC","571.03125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4220","8",,"False","9/11/2024 6:54:11 AM",,"19976",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","79136","79136","147263488","147263488","1409600","1409600","153047040","153047040","270856192","270856192","2308127006720","1729568768","True","Normal","147263488","147263488","255","1",,"System.Diagnostics.ProcessThreadCollection","2302","2307802730496","1405292544","False",,,,"242528256","242528256",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:44.5156250","00:09:31.0312500","00:08:46.5156250","chrome","3607734","Chapter 6: PowerShell and Files – Reading, Writing, and Manipulating Data | PowerShell 7 Workshop - Google Chrome","True",,
"chrome","1","242","3513273729024","30416896","17870848","19656","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=173 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1792535067014 --field-trial-handle=9488,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=8760 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.078125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5884","4",,"False","9/11/2024 11:57:37 AM",,"21752",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19656","19656","17870848","17870848","655424","655424","19230720","19230720","31318016","31318016","3513290506240","7258112","True","Idle","17870848","17870848","255","1",,"System.Diagnostics.ProcessThreadCollection","242","3513273729024","-9519104","False",,,,"30416896","30416896",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0781250","00:00:00.0312500","chrome","0","","True",,
"chrome","1","300","3513328656384","46919680","23547904","22648","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --enable-dinosaur-easter-egg-alt-images --no-subproc-heap-profiling --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=73 --time-ticks-at-unix-epoch=-1724256122801265 --launch-time-ticks=1776071077911 --field-trial-handle=4540,i,2735560470223093676,9904484517782735914,262144 --variations-seed-version=20240910-180202.367000 --mojo-platform-channel-handle=7888 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.203125","128.0.6613.137","128.0.6613.137","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7456","4",,"False","9/11/2024 7:23:13 AM",,"23140",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22648","22648","23547904","23547904","647792","647792","26120192","26120192","56086528","56086528","3513345433600","62185472","True","Idle","23547904","23547904","255","1",,"System.Diagnostics.ProcessThreadCollection","300","3513328656384","45408256","False",,,,"46919680","46919680",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00","00:00:00.2031250","00:00:00.2031250","chrome","0","","True",,
